session,quelle,thema,erstellt,selbsteinschaetzung-sprache,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,selbsteinschaetzung-bewertung
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-3,is a break good or bad after high school for students,2023-03-28 13:01:31.969001+00:00,5,4,4,2,6,5,5,5,3
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,ChatGPT-3,capital punishment..necessary or not,2023-03-28 13:01:32.942355+00:00,4,6,5,5,6,5,5,6,2
bnpk5arlgchs81ch0so6l8ult9uqyqiy,ChatGPT-4,is a break good or bad after high school for students,2023-03-28 13:01:33.475701+00:00,3,5,5,4,5,3,4,4,0
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,Traditional games or modern games in developing children's skills,2023-03-28 13:01:34.294049+00:00,2,5,5,5,5,5,5,5,1
8y24o71xlukzq85g17n6ckhh09qf69pm,Student,capital punishment..necessary or not,2023-03-28 13:01:37.433256+00:00,3,3,3,3,4,3,3,3,1
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-3,"computers..use,future prospects and over-dependence",2023-03-28 13:01:38.619661+00:00,1,6,5,4,5,3,4,5,2
mfctuxkizf1flo6083xotwsi3o40wdup,Student,government shouldn't put money on building theaters or sports stadiums,2023-03-28 13:01:39.164679+00:00,1,6,6,6,6,6,6,6,1
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-4,Traditional games or modern games in developing children's skills,2023-03-28 13:01:41.066952+00:00,2,2,2,2,3,3,3,3,0
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-4,Should governments be responsible to help the unemployed and homeless,2023-03-28 13:01:42.264597+00:00,5,5,4,4,5,5,5,5,3
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-3,advantages and disadvantages of the prevalent of English,2023-03-28 13:01:44.335327+00:00,2,3,4,2,4,5,4,5,3
kxhdunah6ib3a2597w6f4ikbyukby99e,Student,International sporting occasions help to ease international tensions,2023-03-28 13:01:47.426543+00:00,3,4,3,4,2,1,1,0,4
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-3,Nowadays there are more opportunities for women than there were in the past,2023-03-28 13:01:49.309762+00:00,5,6,6,5,6,6,6,6,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Influence of English - advantages outweigh the disadvantages,2023-03-28 13:01:53.121482+00:00,1,4,4,4,3,3,3,4,0
otoqe4kenlwd1n79qw5t6u98a78fd2wo,ChatGPT-4,competition or co-operation-which is better,2023-03-28 13:01:53.181613+00:00,3,4,4,4,5,5,5,5,2
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-4,Creative Artists,2023-03-28 13:01:53.714671+00:00,5,6,6,6,6,6,6,6,4
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,ChatGPT-4,Should high school make music lessons compulsory,2023-03-28 13:01:53.865306+00:00,5,5,6,5,6,6,6,6,4
6z2czq2ox46ouw2hdygosn0svlyq2l9l,Student,Government should make more effort to promote alternative sources of energy,2023-03-28 13:01:58.182841+00:00,1,2,3,2,3,5,4,3,2
9e29g8fljpiaqqzio6jvwh2p62k960km,Student,zoos should be built to protect rural animals,2023-03-28 13:02:00.023012+00:00,2,3,4,4,5,4,4,4,3
ksredoneqru0xqxf7nq2hydb58zr0nvn,ChatGPT-4,competition or co-operation-which is better,2023-03-28 13:02:00.317826+00:00,3,1,2,3,2,2,2,3,2
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-4,people will spend less time on cooking food,2023-03-28 13:02:00.426712+00:00,5,5,5,4,5,4,5,5,3
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-4,government shouldn't put money on building theaters or sports stadiums,2023-03-28 13:02:00.447209+00:00,3,5,5,5,6,5,5,5,3
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-4,museums and art galleries will disappear soon?,2023-03-28 13:02:05.961667+00:00,2,3,4,3,5,5,4,5,2
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,people will spend less time on cooking food,2023-03-28 13:02:06.347869+00:00,4,4,5,5,5,6,5,5,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-3,people will spend less time on cooking food,2023-03-28 13:02:07.118801+00:00,3,3,4,3,5,4,4,5,3
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-3,people will spend less time on cooking food,2023-03-28 13:02:07.316377+00:00,2,5,5,4,5,3,4,4,3
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-3,should all the advertisements be banned?,2023-03-28 13:02:07.454081+00:00,3,3,3,3,3,3,3,3,0
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-4,pros and cons of developments in agriculture,2023-03-28 13:02:09.748394+00:00,3,4,5,5,6,5,5,5,2
2bbhl6g2uav5bt0jutfc8wuco738qag5,Student,Influence of English - advantages outweigh the disadvantages,2023-03-28 13:02:15.363256+00:00,4,5,5,5,6,5,5,5,2
6vszxf66bcd0elzhfr99j3rio2nf3jyp,Student,museums and art galleries will disappear soon?,2023-03-28 13:02:18.046522+00:00,4,4,4,4,3,3,4,3,4
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,competition or co-operation-which is better,2023-03-28 13:02:21.534930+00:00,4,3,2,2,2,2,3,2,3
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-4,should universities accept equal number of males/females or not,2023-03-28 13:02:24.987886+00:00,2,4,5,4,5,4,4,4,0
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-3,Technology keeps traditional skills and ways of life alive or not?,2023-03-28 13:02:27.387958+00:00,5,4,4,4,5,4,4,4,3
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,ChatGPT-4,Technology keeps traditional skills and ways of life alive or not?,2023-03-28 13:02:28.298511+00:00,3,5,5,5,6,5,6,6,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,Nowadays there are more opportunities for women than there were in the past,2023-03-28 13:02:33.711402+00:00,2,4,4,5,5,4,4,4,1
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-3,capital punishment..necessary or not,2023-03-28 13:02:33.741055+00:00,2,5,5,4,6,5,5,5,3
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,Student,is a break good or bad after high school for students,2023-03-28 13:02:33.871940+00:00,1,5,4,4,2,3,3,3,0
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,Student,distance-learning vs. attending school in person,2023-03-28 13:02:33.982465+00:00,2,4,5,4,4,4,4,4,0
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-3,Traditional games or modern games in developing children's skills,2023-03-28 13:02:34.113901+00:00,2,5,5,4,6,5,5,5,2
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,Traditional games or modern games in developing children's skills,2023-03-28 13:02:39.675698+00:00,2,5,5,5,5,5,5,5,3
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-4,capital punishment..necessary or not,2023-03-28 13:02:40.183622+00:00,1,5,5,3,4,5,5,4,0
yhhasgbui0x5dneax62an6p0y769nhca,Student,should universities accept equal number of males/females or not,2023-03-28 13:02:40.422234+00:00,0,2,2,2,3,2,3,3,0
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-4,is a break good or bad after high school for students,2023-03-28 13:02:40.742898+00:00,5,5,5,6,6,4,5,5,4
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-4,should all the advertisements be banned?,2023-03-28 13:02:41.281375+00:00,2,6,5,5,6,5,5,6,3
3ekw2nmnlpi8xlds6evadnvk99e4tznt,ChatGPT-3,zoos should be built to protect rural animals,2023-03-28 13:02:47.016361+00:00,5,5,5,5,6,4,4,4,2
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-4,Creative Artists,2023-03-28 13:02:47.794250+00:00,2,2,3,4,5,4,5,5,3
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,Nowadays there are more opportunities for women than there were in the past,2023-03-28 13:02:49.235007+00:00,1,3,4,3,4,3,3,3,1
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,Student,True Function of A University,2023-03-28 13:02:50.682664+00:00,2,3,3,3,3,3,4,3,1
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-3,Creative Artists,2023-03-28 13:02:51.826848+00:00,2,4,5,3,6,4,5,4,1
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-3,Those who use drugs should be automatically sentenced to time in prison,2023-03-28 13:02:52.322860+00:00,2,5,5,5,5,4,5,5,0
7h4kehby4qflhzzjg13qr89hl89kr6s2,Student,advantages and disadvantages of the prevalent of English,2023-03-28 13:02:52.946993+00:00,1,3,4,3,5,4,4,4,0
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-4,Nowadays there are more opportunities for women than there were in the past,2023-03-28 13:02:55.902998+00:00,2,6,6,6,6,6,6,6,3
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,should goverment control media crime,2023-03-28 13:02:57.565308+00:00,2,5,5,5,6,6,5,5,0
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,government shouldn't put money on building theaters or sports stadiums,2023-03-28 13:02:57.903304+00:00,1,4,4,4,6,3,4,4,0
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,Student,Growing traffic & pollution can be controlled by increasing petrol prices,2023-03-28 13:02:58.371469+00:00,1,3,2,2,6,6,6,6,1
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-3,Growing traffic & pollution can be controlled by increasing petrol prices,2023-03-28 13:02:59.611910+00:00,2,2,5,4,4,4,4,4,0
27cy61crue3numwu12qb1yjahlgx4dfo,ChatGPT-4,Benefits of students doing extra jobs,2023-03-28 13:03:01.104684+00:00,1,3,3,3,3,3,3,3,0
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-4,Growing traffic & pollution can be controlled by increasing petrol prices,2023-03-28 13:03:07.101340+00:00,4,5,5,5,6,5,5,5,3
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,government shouldn't put money on building theaters or sports stadiums,2023-03-28 13:03:07.245777+00:00,1,4,4,3,5,4,3,3,1
2bbhl6g2uav5bt0jutfc8wuco738qag5,ChatGPT-3,Government should be responsible for education and health care or not?,2023-03-28 13:03:12.660856+00:00,4,5,5,5,5,5,5,5,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-3,should universities accept equal number of males/females or not,2023-03-28 13:03:12.761701+00:00,3,4,5,4,6,5,5,5,2
hwlcvhvkpcsq26vqw3h4agtiu450yue0,ChatGPT-4,High sales reflect Power of Advertising and not the Real Need,2023-03-28 13:03:13.512368+00:00,5,5,5,4,5,5,5,5,3
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-3,should goverment control media crime,2023-03-28 13:03:19.153006+00:00,4,5,5,5,6,5,5,5,3
bfb3uj06g3twa0h1oerv63pcacnffkls,Student,Technology keeps traditional skills and ways of life alive or not?,2023-03-28 13:03:20.428280+00:00,5,4,4,5,4,5,4,5,2
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,zoos should be banned,2023-03-28 13:03:21.992624+00:00,2,4,4,4,4,4,4,3,1
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-3,should goverment control media crime,2023-03-28 13:03:22.088293+00:00,1,4,4,3,5,3,4,5,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,Student,should goverment control media crime,2023-03-28 13:03:22.926964+00:00,1,2,1,2,3,5,3,4,1
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,Student,people will spend less time on cooking food,2023-03-28 13:03:23.761222+00:00,4,3,3,4,3,4,4,3,2
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,ChatGPT-4,government shouldn't put money on building theaters or sports stadiums,2023-03-28 13:03:27.116567+00:00,4,5,5,6,6,6,6,6,3
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-3,Growing traffic & pollution can be controlled by increasing petrol prices,2023-03-28 13:03:33.167350+00:00,2,4,4,4,6,4,4,3,0
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-4,Several languages are in danger of extinction,2023-03-28 13:03:34.862230+00:00,5,6,6,5,6,6,6,6,4
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,ChatGPT-4,"computers..use,future prospects and over-dependence",2023-03-28 13:03:35.019806+00:00,5,5,5,5,6,6,6,6,4
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-4,should all the advertisements be banned?,2023-03-28 13:03:35.679941+00:00,2,3,3,3,3,3,2,2,0
b5641jbn13rh3k093necyaddm2cxwhoc,Student,Nowadays there are more opportunities for women than there were in the past,2023-03-28 13:03:37.286254+00:00,3,3,3,2,2,2,3,3,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Is image more powerful than the written word?,2023-03-28 13:03:38.190760+00:00,1,4,4,4,5,4,4,4,1
2bbhl6g2uav5bt0jutfc8wuco738qag5,ChatGPT-4,Artists' freedom to express ideas,2023-03-28 13:03:38.871660+00:00,4,5,5,5,5,5,5,5,2
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-3,Technology keeps traditional skills and ways of life alive or not?,2023-03-28 13:03:39.055064+00:00,4,5,5,5,5,5,5,5,3
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,Student,Government should be responsible for education and health care or not?,2023-03-28 13:03:39.938599+00:00,3,3,3,3,3,3,3,3,0
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,Student,Those who use drugs should be automatically sentenced to time in prison,2023-03-28 13:03:41.494492+00:00,4,4,4,4,5,5,4,2,2
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-4,economic development vs environment,2023-03-28 13:03:41.837614+00:00,2,5,5,6,5,6,5,5,3
0j5ac1w3jqs3n4d88fxghkr996puxnzf,Student,competition or co-operation-which is better,2023-03-28 13:03:47.464619+00:00,2,5,6,6,5,5,5,6,2
otoqe4kenlwd1n79qw5t6u98a78fd2wo,ChatGPT-4,Several languages are in danger of extinction,2023-03-28 13:03:49.512654+00:00,3,5,5,5,6,4,6,5,2
zprb1muapmszr1s8btczu55w5y4wlxpe,Student,capital punishment..necessary or not,2023-03-28 13:03:52.764978+00:00,4,4,4,4,4,5,4,4,2
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-3,Government should be responsible for education and health care or not?,2023-03-28 13:03:56.342402+00:00,4,6,6,6,6,6,6,6,4
bnpk5arlgchs81ch0so6l8ult9uqyqiy,Student,Those who use drugs should be automatically sentenced to time in prison,2023-03-28 13:03:56.793604+00:00,3,4,3,4,4,5,4,4,0
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,Do arts and music improve the quality of life?,2023-03-28 13:03:58.144836+00:00,3,5,5,4,6,5,5,5,3
2bbhl6g2uav5bt0jutfc8wuco738qag5,Student,The nuclear power provide clean and cheap energy,2023-03-28 13:03:58.315597+00:00,4,5,5,5,5,5,5,5,2
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,ChatGPT-4,should universities accept equal number of males/females or not,2023-03-28 13:03:58.974388+00:00,2,4,5,2,6,5,5,5,3
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-4,Is image more powerful than the written word?,2023-03-28 13:03:59.350359+00:00,1,3,4,4,4,4,4,4,2
3abdtb3vc2w8k9u6k3bbajtd6szuifko,Student,should universities accept equal number of males/females or not,2023-03-28 13:04:02.156541+00:00,4,2,3,3,3,2,4,3,3
q6pbiymk6hbriv1i7otts03k8x05w5x5,Student,Creative Artists,2023-03-28 13:04:06.583392+00:00,1,5,5,6,6,5,5,5,1
2qpxkgwgxmlymjo937jx65f3dzqzisx6,ChatGPT-4,Those who use drugs should be automatically sentenced to time in prison,2023-03-28 13:04:08.080845+00:00,2,2,3,3,6,5,5,6,2
3ekw2nmnlpi8xlds6evadnvk99e4tznt,ChatGPT-3,"Government should spend money on ARTs, not only on public services",2023-03-28 13:04:09.203796+00:00,5,4,5,4,5,5,5,5,2
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-4,Government should be responsible for education and health care or not?,2023-03-28 13:04:18.687566+00:00,2,5,5,4,5,5,4,5,2
ksredoneqru0xqxf7nq2hydb58zr0nvn,Student,Several languages are in danger of extinction,2023-03-28 13:04:19.544985+00:00,3,1,1,1,1,1,1,2,3
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,Student,should teenagers learn all school subjects/focus on one subject,2023-03-28 13:04:19.686934+00:00,3,5,5,6,6,5,6,6,2
fxty78tj0luhghulpp686zi9swrx64xi,Student,should all the advertisements be banned?,2023-03-28 13:04:22.736769+00:00,2,3,4,2,4,3,4,3,2
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,ChatGPT-4,True Function of A University,2023-03-28 13:04:24.181696+00:00,5,5,6,4,6,5,6,5,2
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-4,Do arts and music improve the quality of life?,2023-03-28 13:04:24.333655+00:00,2,5,5,5,6,4,5,5,3
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-3,zoos should be banned,2023-03-28 13:04:32.475664+00:00,5,6,6,6,6,4,5,5,3
0ynzvwvxifu3enwwv5vog2rc8via3sb4,ChatGPT-4,"computers..use,future prospects and over-dependence",2023-03-28 13:04:32.569884+00:00,2,5,4,5,6,5,5,5,2
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-3,Do modern communication technologies benefit all people,2023-03-28 13:04:32.754192+00:00,4,4,4,3,5,4,4,4,2
wjtbk547gm3kbhm2syykrda91a9koceu,Student,should all the advertisements be banned?,2023-03-28 13:04:35.093134+00:00,4,3,3,2,2,3,3,3,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-4,Do arts and music improve the quality of life?,2023-03-28 13:04:35.388955+00:00,3,5,4,5,5,4,4,5,3
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,Do arts and music improve the quality of life?,2023-03-28 13:04:36.309129+00:00,4,4,4,4,2,4,3,3,2
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-3,economic development vs environment,2023-03-28 13:04:41.877031+00:00,1,4,4,4,3,4,4,4,0
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-3,"Government should spend money on ARTs, not only on public services",2023-03-28 13:04:41.921949+00:00,2,3,4,4,4,4,4,4,3
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-3,Those who use drugs should be automatically sentenced to time in prison,2023-03-28 13:04:44.110025+00:00,3,4,4,3,5,4,5,5,1
6z2czq2ox46ouw2hdygosn0svlyq2l9l,ChatGPT-3,Several languages are in danger of extinction,2023-03-28 13:04:44.872440+00:00,1,5,5,5,6,6,5,6,3
1ffzqxil7h3zmumj85svnetx29uvej3o,Student,Is image more powerful than the written word?,2023-03-28 13:04:45.386997+00:00,2,5,5,5,6,5,5,5,3
ovveu2pletq3xkjup4t2qmqe3u69ytcb,ChatGPT-4,More people are migrating to other countries than ever before,2023-03-28 13:04:47.349638+00:00,3,6,6,2,6,4,5,5,2
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,Student,Is image more powerful than the written word?,2023-03-28 13:04:51.400271+00:00,5,6,6,6,6,6,6,6,3
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,ChatGPT-3,Giving mobile phones to the unemployed,2023-03-28 13:04:51.430229+00:00,4,5,5,5,6,6,6,6,2
xea685r9fwrkuaugtc3aucspv34av5el,Student,Influence of English - advantages outweigh the disadvantages,2023-03-28 13:04:53.030759+00:00,5,2,3,2,4,4,4,3,3
ilfp64e1834fa3jfozvmtz4bmpezd3b1,Student,Nowadays there are more opportunities for women than there were in the past,2023-03-28 13:04:53.559883+00:00,4,1,3,2,4,5,4,4,2
yhhasgbui0x5dneax62an6p0y769nhca,ChatGPT-3,economic development vs environment,2023-03-28 13:04:54.178821+00:00,0,1,1,1,0,1,1,1,0
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,Student,"Government should spend money on ARTs, not only on public services",2023-03-28 13:05:02.454488+00:00,1,3,3,4,3,3,4,4,1
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,Student,government shouldn't put money on building theaters or sports stadiums,2023-03-28 13:05:03.140477+00:00,4,5,4,4,5,5,5,5,3
9e29g8fljpiaqqzio6jvwh2p62k960km,Student,Several languages are in danger of extinction,2023-03-28 13:05:07.021948+00:00,2,3,3,2,4,3,3,3,3
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,Keeping animals in zoos,2023-03-28 13:05:11.211970+00:00,2,3,3,3,4,4,4,3,0
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,Artists' freedom to express ideas,2023-03-28 13:05:11.408108+00:00,1,2,3,3,5,4,4,4,1
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,Student,zoos should be banned,2023-03-28 13:05:11.831313+00:00,1,6,5,5,5,5,5,5,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,ChatGPT-4,Advertising - positive or negative part of our lives,2023-03-28 13:05:12.229123+00:00,1,4,5,2,6,4,5,5,1
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,economic development vs environment,2023-03-28 13:05:13.501220+00:00,2,4,4,4,4,4,4,4,1
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-4,"Government should spend money on ARTs, not only on public services",2023-03-28 13:05:15.070383+00:00,2,5,5,4,6,5,5,5,1
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-3,Keeping animals in zoos,2023-03-28 13:05:16.052621+00:00,1,4,4,3,5,3,4,5,1
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,Keeping animals in zoos,2023-03-28 13:05:16.237068+00:00,1,3,3,3,2,2,3,3,2
a460q5wc7leq8556iqzmjpy26gunhcno,Student,Keeping animals in zoos,2023-03-28 13:05:16.786156+00:00,2,3,4,4,3,4,3,3,0
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,Advertising - positive or negative part of our lives,2023-03-28 13:05:25.603263+00:00,4,5,5,5,6,6,5,5,3
g0rntgh8sk4ehswu3iphviv8byk5bgad,Student,"computers..use,future prospects and over-dependence",2023-03-28 13:05:26.129553+00:00,4,4,4,4,2,4,4,4,3
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-3,Artists' freedom to express ideas,2023-03-28 13:05:26.318364+00:00,4,4,3,4,5,3,4,4,2
c5e8dbxl8892elwdq7enj4u6ldlp7zag,ChatGPT-4,Government should be responsible for education and health care or not?,2023-03-28 13:05:26.594222+00:00,4,5,5,3,6,6,5,5,3
hwlcvhvkpcsq26vqw3h4agtiu450yue0,Student,Artists' freedom to express ideas,2023-03-28 13:05:29.261428+00:00,5,4,4,4,4,5,5,5,3
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-4,Technology keeps traditional skills and ways of life alive or not?,2023-03-28 13:05:30.912711+00:00,4,3,4,4,5,5,6,5,2
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,Student,creativity-should it be given freedom or restrictions,2023-03-28 13:05:32.637961+00:00,3,2,1,1,2,2,2,2,3
wwmqz42o3int4rtr1s5ea0oycp6kerm5,Student,Keeping animals in zoos,2023-03-28 13:05:46.712484+00:00,2,4,3,2,2,2,2,2,3
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-4,Gender Equality at university admission,2023-03-28 13:05:49.643305+00:00,3,4,5,4,4,4,4,4,3
6ganr5vnayf3earis2qokj91nfkjprl1,Student,The nuclear power provide clean and cheap energy,2023-03-28 13:05:53.939169+00:00,4,4,3,4,4,4,4,4,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,The nuclear power provide clean and cheap energy,2023-03-28 13:05:55.095314+00:00,1,4,4,3,3,3,4,3,1
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,should universities accept equal number of males/females or not,2023-03-28 13:05:55.963018+00:00,0,5,5,5,5,5,5,5,0
27cy61crue3numwu12qb1yjahlgx4dfo,ChatGPT-4,Keeping animals in zoos,2023-03-28 13:05:57.811818+00:00,1,5,5,4,5,2,3,3,1
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,Student,Advertising - positive or negative part of our lives,2023-03-28 13:05:59.329044+00:00,4,4,4,5,5,4,4,4,3
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-4,economic development vs environment,2023-03-28 13:06:02.124267+00:00,5,5,6,5,6,6,6,6,4
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-4,Use of CCTV cameras,2023-03-28 13:06:04.405607+00:00,2,4,4,3,4,3,4,4,1
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,Student,zoos should be banned,2023-03-28 13:06:04.980663+00:00,2,5,5,5,5,4,5,4,1
goy6fcxoim5ydlkiarbswih1qcqqca18,Student,Traditional games or modern games in developing children's skills,2023-03-28 13:06:05.900101+00:00,2,5,4,4,5,5,4,5,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,Artists' freedom to express ideas,2023-03-28 13:06:08.882175+00:00,3,5,5,4,6,5,6,5,2
85d01jfwme6nq0xuv81yn1jel0bsnxq6,Student,Government should be responsible for education and health care or not?,2023-03-28 13:06:13.370857+00:00,3,5,5,5,6,6,5,6,2
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-3,The nuclear power provide clean and cheap energy,2023-03-28 13:06:15.706827+00:00,3,6,5,4,5,5,5,5,3
7h4kehby4qflhzzjg13qr89hl89kr6s2,ChatGPT-4,"Government should spend money on ARTs, not only on public services",2023-03-28 13:06:16.507102+00:00,1,4,4,4,5,4,4,4,0
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-4,The nuclear power provide clean and cheap energy,2023-03-28 13:06:17.966529+00:00,2,4,4,4,5,5,5,5,0
tt7g5cc8q09pivcekvsfj83qnvphc0c3,Student,Do arts and music improve the quality of life?,2023-03-28 13:06:19.669425+00:00,2,0,0,1,1,3,4,4,2
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-3,Is image more powerful than the written word?,2023-03-28 13:06:25.790768+00:00,3,3,4,4,6,5,5,5,4
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-3,teaching and researching working together lead to the success,2023-03-28 13:06:25.912386+00:00,2,4,5,4,5,4,4,4,3
0ll3yprr67qbpu204ogv1msgkj0b5720,Student,Advertising - positive or negative part of our lives,2023-03-28 13:06:26.011050+00:00,2,5,4,3,6,4,3,5,0
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-3,Solve traffic and housing problems by moving companies to the rural areas?,2023-03-28 13:06:26.255830+00:00,3,5,5,5,4,5,5,5,3
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,zoos should be banned,2023-03-28 13:06:27.557919+00:00,2,5,5,5,6,5,5,5,3
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-3,Prefer to live in a small town rather than a city,2023-03-28 13:06:28.459758+00:00,4,5,5,3,6,3,4,4,3
otoqe4kenlwd1n79qw5t6u98a78fd2wo,Student,Giving mobile phones to the unemployed,2023-03-28 13:06:28.719053+00:00,3,4,3,3,3,3,3,4,2
